,OBJECTID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,MONTH
210428,210429,231411,1992,1992-07-18,200,1913.0,1,Lightning,2448846.5,225.0,1600.0,23.0,C,66.9829,-152.5527,7,STATE,AK,,,,7
210429,210430,232412,1992,1992-07-19,201,1438.0,1,Lightning,2448830.5,209.0,1200.0,1040.0,F,65.8997,-143.9025,6,OTHER FEDERAL,AK,,,,7
210430,210431,CEM W 65,1992,1992-07-19,201,1957.0,1,Lightning,2448835.5,214.0,1350.0,1.0,B,65.4496,-147.3525,1,BLM,AK,,,,7
210431,210432,232414,1992,1992-07-19,201,2015.0,1,Lightning,2448882.5,261.0,1005.0,35090.0,G,67.3997,-144.636,4,FWS,AK,,,,7
210432,210433,FYUNW59,1992,1992-07-20,202,1444.0,1,Lightning,2448835.5,214.0,1708.0,175.0,D,67.0664,-143.086,4,FWS,AK,,,,7
210433,210434,FYU NE 72,1992,1992-07-20,202,1502.0,1,Lightning,2448853.5,232.0,1248.0,790.0,E,67.3664,-143.036,4,FWS,AK,,,,7
210434,210435,CEM E 35,1992,1992-07-20,202,1616.0,1,Lightning,2448882.5,261.0,1140.0,80.0,C,65.4663,-143.3691,3,NPS,AK,,,,7
210435,210436,232421,1992,1992-07-22,204,1438.0,1,Lightning,2448829.5,208.0,1300.0,10.7,C,65.6162,-149.1525,1,BLM,AK,,,,7
210436,210437,CEM 3 55,1992,1992-07-22,204,1510.0,1,Lightning,2448835.5,214.0,1743.0,90.0,C,65.6997,-141.3858,1,BLM,AK,,,,7
210437,210438,FYU N 53,1992,1992-07-23,205,1357.0,1,Lightning,2448854.5,233.0,1600.0,20.0,C,67.4664,-144.7361,4,FWS,AK,,,,7
210438,210439,FAI E 23,1992,1992-07-23,205,1716.0,1,Lightning,2448827.5,206.0,200.0,0.2,A,64.7662,-147.0857,6,OTHER FEDERAL,AK,,,,7
210439,210440,CEM W 65,1992,1992-07-24,206,1523.0,1,Lightning,2448835.5,214.0,1355.0,0.1,A,65.4829,-147.3858,1,BLM,AK,,,,7
210440,210441,FYU NE 148,1992,1992-07-24,206,1553.0,1,Lightning,2448853.5,232.0,1325.0,185.0,D,68.5331,-141.3027,4,FWS,AK,,,,7
210441,210442,FYU NE 141,1992,1992-07-24,206,1553.0,1,Lightning,2448853.5,232.0,1318.0,30.0,C,68.3664,-141.286,4,FWS,AK,,,,7
