,STAT_CAUSE_DESCR
380784,Campfire
380785,Miscellaneous
380786,Debris Burning
380787,Campfire
380788,Structure
380789,Campfire
380790,Debris Burning
380791,Powerline
380792,Campfire
380793,Debris Burning
380794,Debris Burning
380795,Lightning
380796,Lightning
380797,Lightning
380798,Debris Burning
380799,Debris Burning
380800,Powerline
380801,Fireworks
380802,Equipment Use
380803,Lightning
380804,Fireworks
380805,Lightning
380806,Miscellaneous
380807,Campfire
380808,Debris Burning
380809,Missing/Undefined
380810,Children
380811,Miscellaneous
380812,Debris Burning
380813,Debris Burning
380814,Structure
380815,Debris Burning
380816,Debris Burning
380817,Miscellaneous
380818,Campfire
380819,Lightning
380820,Lightning
380821,Lightning
380822,Lightning
380823,Lightning
380824,Lightning
380825,Lightning
380826,Lightning
380827,Lightning
380828,Lightning
380829,Lightning
380830,Powerline
380831,Lightning
380832,Lightning
380833,Lightning
380834,Lightning
380835,Miscellaneous
380836,Debris Burning
380837,Miscellaneous
380838,Lightning
380839,Lightning
380840,Lightning
380841,Lightning
380842,Lightning
380843,Lightning
380844,Lightning
380845,Lightning
380846,Miscellaneous
380847,Miscellaneous
380848,Lightning
380849,Lightning
380850,Campfire
380851,Debris Burning
380852,Debris Burning
380853,Equipment Use
380854,Debris Burning
380855,Children
380856,Debris Burning
380857,Debris Burning
380858,Structure
380859,Debris Burning
380860,Powerline
380861,Debris Burning
380862,Powerline
380863,Debris Burning
380864,Debris Burning
380865,Miscellaneous
380866,Debris Burning
380867,Structure
380868,Debris Burning
380869,Debris Burning
380870,Smoking
380871,Debris Burning
380872,Debris Burning
380873,Campfire
380874,Miscellaneous
380875,Debris Burning
380876,Debris Burning
380877,Equipment Use
380878,Structure
380879,Debris Burning
380880,Debris Burning
380881,Smoking
380882,Debris Burning
380883,Miscellaneous
380884,Debris Burning
380885,Debris Burning
380886,Debris Burning
380887,Children
380888,Miscellaneous
380889,Powerline
380890,Debris Burning
380891,Debris Burning
380892,Miscellaneous
380893,Debris Burning
380894,Debris Burning
380895,Equipment Use
380896,Campfire
380897,Debris Burning
380898,Miscellaneous
380899,Debris Burning
380900,Debris Burning
380901,Debris Burning
380902,Debris Burning
380903,Debris Burning
380904,Debris Burning
380905,Debris Burning
380906,Miscellaneous
380907,Debris Burning
380908,Debris Burning
380909,Powerline
380910,Debris Burning
380911,Campfire
380912,Campfire
380913,Structure
380914,Debris Burning
380915,Debris Burning
380916,Debris Burning
380917,Debris Burning
380918,Equipment Use
380919,Campfire
380920,Debris Burning
380921,Smoking
380922,Campfire
380923,Debris Burning
380924,Miscellaneous
380925,Debris Burning
380926,Debris Burning
380927,Debris Burning
380928,Debris Burning
380929,Debris Burning
380930,Debris Burning
380931,Children
380932,Debris Burning
380933,Equipment Use
380934,Campfire
380935,Debris Burning
380936,Debris Burning
380937,Debris Burning
380938,Debris Burning
380939,Debris Burning
380940,Debris Burning
380941,Debris Burning
380942,Debris Burning
380943,Debris Burning
380944,Debris Burning
380945,Debris Burning
380946,Debris Burning
380947,Structure
380948,Debris Burning
380949,Debris Burning
380950,Debris Burning
380951,Debris Burning
380952,Debris Burning
380953,Debris Burning
380954,Miscellaneous
380955,Miscellaneous
380956,Debris Burning
380957,Children
380958,Debris Burning
380959,Debris Burning
380960,Debris Burning
380961,Debris Burning
380962,Debris Burning
380963,Debris Burning
380964,Campfire
380965,Debris Burning
380966,Debris Burning
380967,Children
380968,Smoking
380969,Debris Burning
380970,Equipment Use
380971,Powerline
380972,Debris Burning
380973,Miscellaneous
380974,Debris Burning
380975,Miscellaneous
380976,Debris Burning
380977,Miscellaneous
380978,Powerline
380979,Powerline
380980,Miscellaneous
380981,Debris Burning
380982,Debris Burning
380983,Debris Burning
380984,Debris Burning
380985,Miscellaneous
380986,Arson
380987,Debris Burning
380988,Debris Burning
380989,Children
380990,Debris Burning
380991,Miscellaneous
380992,Debris Burning
380993,Debris Burning
380994,Children
380995,Debris Burning
380996,Debris Burning
380997,Miscellaneous
380998,Debris Burning
380999,Children
381000,Debris Burning
381001,Miscellaneous
381002,Debris Burning
381003,Debris Burning
381004,Debris Burning
381005,Debris Burning
381006,Equipment Use
381007,Debris Burning
381008,Structure
381009,Structure
381010,Children
381011,Debris Burning
381012,Debris Burning
381013,Equipment Use
381014,Children
381015,Structure
381016,Miscellaneous
381017,Miscellaneous
381018,Children
381019,Powerline
381020,Miscellaneous
381021,Powerline
381022,Lightning
381023,Lightning
381024,Lightning
381025,Lightning
381026,Children
381027,Powerline
381028,Campfire
381029,Debris Burning
381030,Debris Burning
381031,Lightning
381032,Smoking
381033,Equipment Use
381034,Lightning
381035,Powerline
381036,Debris Burning
381037,Lightning
381038,Debris Burning
381039,Debris Burning
381040,Miscellaneous
381041,Miscellaneous
381042,Miscellaneous
381043,Lightning
381044,Debris Burning
381045,Children
381046,Campfire
381047,Miscellaneous
381048,Structure
381049,Debris Burning
381050,Debris Burning
381051,Debris Burning
381052,Debris Burning
381053,Miscellaneous
381054,Debris Burning
381055,Powerline
381056,Children
381057,Smoking
381058,Miscellaneous
381059,Lightning
381060,Equipment Use
381061,Lightning
381062,Lightning
381063,Structure
381064,Lightning
381065,Lightning
381066,Debris Burning
381067,Equipment Use
381068,Children
381069,Miscellaneous
381070,Campfire
381071,Campfire
381072,Debris Burning
381073,Fireworks
381074,Debris Burning
381075,Children
381076,Debris Burning
381077,Fireworks
381078,Children
381079,Debris Burning
381080,Debris Burning
381081,Debris Burning
381082,Powerline
381083,Powerline
381084,Equipment Use
381085,Miscellaneous
381086,Fireworks
381087,Debris Burning
381088,Miscellaneous
381089,Miscellaneous
381090,Lightning
381091,Lightning
381092,Debris Burning
381093,Miscellaneous
381094,Lightning
381095,Equipment Use
381096,Miscellaneous
381097,Debris Burning
381098,Equipment Use
381099,Debris Burning
381100,Equipment Use
381101,Debris Burning
381102,Miscellaneous
381103,Debris Burning
381104,Powerline
381105,Powerline
381106,Lightning
381107,Lightning
381108,Lightning
381109,Debris Burning
381110,Children
381111,Debris Burning
381112,Fireworks
381113,Campfire
381114,Structure
381115,Lightning
381116,Miscellaneous
381117,Debris Burning
381118,Children
381119,Lightning
381120,Lightning
381121,Lightning
381122,Miscellaneous
381123,Debris Burning
381124,Miscellaneous
381125,Miscellaneous
381126,Fireworks
381127,Children
381128,Fireworks
381129,Campfire
381130,Miscellaneous
381131,Campfire
381132,Equipment Use
381133,Lightning
381134,Lightning
381135,Lightning
381136,Debris Burning
381137,Lightning
381138,Lightning
381139,Lightning
381140,Lightning
381141,Debris Burning
381142,Lightning
381143,Structure
381144,Debris Burning
381145,Debris Burning
381146,Lightning
381147,Lightning
381148,Lightning
381149,Lightning
381150,Children
381151,Children
381152,Children
381153,Miscellaneous
381154,Lightning
381155,Lightning
381156,Lightning
381157,Miscellaneous
381158,Debris Burning
381159,Miscellaneous
381160,Lightning
381161,Debris Burning
381162,Lightning
381163,Children
381164,Debris Burning
381165,Campfire
381166,Miscellaneous
381167,Fireworks
381168,Structure
381169,Lightning
381170,Lightning
381171,Powerline
381172,Miscellaneous
381173,Children
381174,Lightning
381175,Campfire
381176,Campfire
680759,Campfire
680760,Children
680761,Debris Burning
680762,Debris Burning
680763,Debris Burning
680764,Debris Burning
680765,Arson
680766,Miscellaneous
680767,Structure
680768,Campfire
680769,Campfire
680770,Miscellaneous
680771,Miscellaneous
680772,Children
680773,Debris Burning
680774,Miscellaneous
680775,Debris Burning
680776,Children
680777,Miscellaneous
680778,Smoking
680779,Debris Burning
680780,Campfire
680781,Campfire
680782,Debris Burning
680783,Equipment Use
680784,Lightning
680785,Lightning
680786,Miscellaneous
680787,Campfire
680788,Lightning
680789,Lightning
680790,Debris Burning
680791,Campfire
680792,Miscellaneous
680793,Lightning
680794,Lightning
680795,Lightning
680796,Lightning
680797,Campfire
680798,Debris Burning
680799,Fireworks
680800,Miscellaneous
680801,Miscellaneous
680802,Powerline
680803,Powerline
680804,Lightning
680805,Powerline
680806,Smoking
680807,Miscellaneous
680808,Debris Burning
680809,Debris Burning
680810,Debris Burning
680811,Equipment Use
680812,Equipment Use
680813,Arson
680814,Powerline
680815,Powerline
680816,Debris Burning
680817,Debris Burning
680818,Arson
680819,Lightning
680820,Powerline
680821,Miscellaneous
680822,Debris Burning
680823,Equipment Use
680824,Miscellaneous
680825,Debris Burning
680826,Debris Burning
680827,Structure
680828,Miscellaneous
680829,Campfire
680830,Campfire
680831,Debris Burning
680832,Debris Burning
680833,Powerline
680834,Arson
680835,Arson
680836,Campfire
680837,Debris Burning
680838,Miscellaneous
680839,Powerline
680840,Miscellaneous
680841,Campfire
680842,Lightning
680843,Equipment Use
680844,Campfire
680845,Powerline
680846,Structure
680847,Lightning
680848,Lightning
680849,Miscellaneous
680850,Miscellaneous
680851,Lightning
680852,Lightning
680853,Lightning
680854,Lightning
680855,Campfire
680856,Debris Burning
680857,Miscellaneous
680858,Lightning
680859,Structure
680860,Lightning
680861,Debris Burning
680862,Debris Burning
680863,Debris Burning
680864,Lightning
680865,Campfire
680866,Campfire
680867,Debris Burning
680868,Equipment Use
680869,Lightning
680870,Miscellaneous
680871,Miscellaneous
680872,Children
680873,Miscellaneous
680874,Miscellaneous
680875,Powerline
680876,Debris Burning
680877,Miscellaneous
680878,Miscellaneous
680879,Campfire
680880,Structure
680881,Campfire
680882,Campfire
680883,Campfire
680884,Miscellaneous
680885,Lightning
680886,Equipment Use
680887,Debris Burning
680888,Powerline
680889,Campfire
680890,Debris Burning
680891,Campfire
680892,Debris Burning
680893,Debris Burning
680894,Miscellaneous
680895,Equipment Use
680896,Lightning
680897,Debris Burning
680898,Campfire
680899,Campfire
680900,Debris Burning
680901,Powerline
680902,Debris Burning
680903,Debris Burning
680904,Campfire
680905,Miscellaneous
680906,Arson
680907,Structure
680908,Miscellaneous
680909,Campfire
680910,Lightning
680911,Miscellaneous
680912,Campfire
680913,Lightning
680914,Powerline
680915,Structure
680916,Structure
680917,Structure
680918,Lightning
680919,Smoking
680920,Children
680921,Miscellaneous
680922,Lightning
680923,Campfire
680924,Debris Burning
680925,Campfire
680926,Campfire
680927,Miscellaneous
680928,Fireworks
680929,Campfire
680930,Campfire
680931,Powerline
680932,Debris Burning
680933,Debris Burning
680934,Debris Burning
680935,Smoking
680936,Miscellaneous
680937,Debris Burning
680938,Debris Burning
680939,Debris Burning
680940,Miscellaneous
680941,Debris Burning
680942,Debris Burning
680943,Debris Burning
680944,Debris Burning
680945,Debris Burning
680946,Debris Burning
680947,Debris Burning
680948,Miscellaneous
680949,Campfire
680950,Debris Burning
680951,Debris Burning
680952,Debris Burning
680953,Campfire
680954,Debris Burning
680955,Debris Burning
680956,Debris Burning
680957,Debris Burning
680958,Debris Burning
680959,Debris Burning
680960,Debris Burning
680961,Miscellaneous
680962,Miscellaneous
680963,Miscellaneous
680964,Miscellaneous
680965,Children
680966,Debris Burning
680967,Structure
680968,Children
680969,Debris Burning
680970,Debris Burning
680971,Debris Burning
680972,Debris Burning
680973,Miscellaneous
680974,Debris Burning
680975,Debris Burning
680976,Debris Burning
680977,Powerline
680978,Debris Burning
680979,Debris Burning
680980,Powerline
680981,Railroad
680982,Miscellaneous
680983,Debris Burning
680984,Arson
680985,Miscellaneous
680986,Debris Burning
680987,Debris Burning
680988,Miscellaneous
680989,Children
680990,Debris Burning
680991,Debris Burning
680992,Debris Burning
680993,Miscellaneous
680994,Campfire
680995,Campfire
680996,Debris Burning
680997,Debris Burning
680998,Fireworks
680999,Debris Burning
681000,Debris Burning
681001,Debris Burning
681002,Debris Burning
681003,Miscellaneous
681004,Miscellaneous
681005,Debris Burning
681006,Debris Burning
681007,Debris Burning
681008,Equipment Use
681009,Arson
681010,Structure
681011,Miscellaneous
681012,Children
681013,Miscellaneous
681014,Structure
681015,Structure
681016,Debris Burning
681017,Debris Burning
681018,Miscellaneous
681019,Structure
681020,Miscellaneous
681021,Children
681022,Debris Burning
681023,Powerline
681024,Campfire
681025,Children
681026,Debris Burning
681027,Debris Burning
681028,Equipment Use
681029,Lightning
681030,Lightning
681031,Lightning
681032,Lightning
681033,Miscellaneous
681034,Campfire
681035,Lightning
681036,Lightning
681037,Lightning
681038,Miscellaneous
681039,Campfire
681040,Debris Burning
681041,Lightning
681042,Debris Burning
681043,Debris Burning
681044,Miscellaneous
681045,Debris Burning
681046,Campfire
681047,Debris Burning
681048,Debris Burning
681049,Debris Burning
681050,Debris Burning
681051,Debris Burning
681052,Debris Burning
681053,Debris Burning
681054,Debris Burning
681055,Debris Burning
681056,Debris Burning
681057,Debris Burning
681058,Debris Burning
681059,Debris Burning
681060,Miscellaneous
681061,Powerline
681062,Debris Burning
681063,Structure
681064,Debris Burning
681065,Debris Burning
681066,Debris Burning
681067,Debris Burning
681068,Debris Burning
681069,Miscellaneous
681070,Miscellaneous
681071,Debris Burning
681072,Debris Burning
681073,Debris Burning
681074,Debris Burning
681075,Fireworks
681076,Miscellaneous
681077,Debris Burning
681078,Debris Burning
681079,Debris Burning
681080,Debris Burning
681081,Debris Burning
681082,Debris Burning
681083,Debris Burning
681084,Debris Burning
681085,Arson
681086,Miscellaneous
681087,Debris Burning
681088,Debris Burning
681089,Debris Burning
681090,Equipment Use
681091,Structure
681092,Debris Burning
681093,Debris Burning
681094,Debris Burning
681095,Debris Burning
681096,Debris Burning
681097,Debris Burning
681098,Debris Burning
681099,Arson
681100,Powerline
681101,Powerline
681102,Debris Burning
681103,Debris Burning
681104,Powerline
681105,Campfire
681106,Equipment Use
681107,Powerline
681108,Powerline
681109,Debris Burning
681110,Debris Burning
681111,Structure
681112,Children
681113,Debris Burning
681114,Miscellaneous
681115,Debris Burning
681116,Debris Burning
681117,Debris Burning
681118,Miscellaneous
681119,Miscellaneous
681120,Children
681121,Miscellaneous
681122,Children
681123,Debris Burning
681124,Debris Burning
681125,Fireworks
681126,Powerline
681127,Children
681128,Debris Burning
681129,Debris Burning
681130,Debris Burning
681131,Arson
681132,Debris Burning
681133,Debris Burning
681134,Debris Burning
681135,Powerline
681136,Debris Burning
681137,Arson
681138,Campfire
681139,Arson
681140,Arson
681141,Debris Burning
681142,Miscellaneous
681143,Debris Burning
681144,Miscellaneous
681145,Campfire
681146,Campfire
681147,Equipment Use
681148,Miscellaneous
681149,Miscellaneous
681150,Miscellaneous
681151,Lightning
681152,Lightning
681153,Structure
681154,Miscellaneous
681155,Campfire
681156,Fireworks
681157,Lightning
681158,Lightning
681159,Campfire
681160,Debris Burning
681161,Lightning
681162,Campfire
681163,Lightning
681164,Lightning
681165,Lightning
681166,Lightning
681167,Lightning
681168,Miscellaneous
681169,Campfire
681170,Debris Burning
681171,Equipment Use
681172,Equipment Use
681173,Equipment Use
681174,Lightning
681175,Lightning
681176,Lightning
681177,Lightning
681178,Lightning
681179,Miscellaneous
681180,Debris Burning
681181,Debris Burning
681182,Lightning
681183,Lightning
681184,Lightning
681185,Powerline
681186,Powerline
681187,Debris Burning
681188,Structure
681189,Debris Burning
681190,Structure
681191,Debris Burning
681192,Lightning
681193,Debris Burning
681194,Debris Burning
681195,Equipment Use
681196,Miscellaneous
681197,Structure
681198,Miscellaneous
681199,Powerline
681200,Debris Burning
681201,Lightning
681202,Miscellaneous
681203,Debris Burning
681204,Debris Burning
681205,Miscellaneous
681206,Powerline
681207,Structure
681208,Children
681209,Lightning
681210,Lightning
681211,Lightning
681212,Lightning
681213,Lightning
681214,Lightning
681215,Powerline
681216,Structure
681217,Miscellaneous
681218,Lightning
681219,Lightning
681220,Lightning
681221,Lightning
681222,Lightning
681223,Lightning
681224,Lightning
681225,Equipment Use
681226,Miscellaneous
681227,Miscellaneous
681228,Campfire
681229,Structure
681230,Structure
681231,Structure
681232,Miscellaneous
681233,Lightning
681234,Lightning
681235,Lightning
1062911,Campfire
1062912,Campfire
1062913,Lightning
1062914,Lightning
1063034,Debris Burning
1063035,Debris Burning
1063036,Campfire
1063037,Campfire
1063038,Campfire
1063142,Miscellaneous
1063801,Campfire
1063802,Campfire
1063803,Miscellaneous
1063804,Campfire
1063805,Campfire
1063806,Miscellaneous
1063807,Campfire
1063808,Campfire
1063809,Campfire
1063810,Campfire
1063811,Miscellaneous
1063812,Campfire
1063813,Campfire
1063814,Debris Burning
1063815,Campfire
1063816,Miscellaneous
1063817,Miscellaneous
1063818,Campfire
1063821,Campfire
1063823,Campfire
1063824,Campfire
1063825,Miscellaneous
1063826,Debris Burning
1063833,Campfire
1063834,Campfire
1063835,Campfire
1063838,Campfire
1063839,Campfire
1063840,Campfire
1063841,Miscellaneous
1063842,Campfire
1063843,Campfire
1063844,Miscellaneous
1063845,Campfire
1063846,Campfire
1063847,Campfire
1063848,Campfire
1063849,Miscellaneous
1063850,Campfire
1063851,Campfire
1063852,Campfire
1063857,Campfire
1063858,Campfire
1063859,Campfire
1063860,Campfire
1063861,Campfire
1063862,Campfire
1063863,Campfire
1063864,Debris Burning
1063865,Campfire
1063866,Campfire
1063867,Campfire
1063868,Miscellaneous
1063869,Campfire
1063870,Campfire
1063871,Campfire
1063872,Campfire
1063873,Campfire
1063874,Campfire
1063875,Campfire
1063876,Campfire
1063877,Campfire
1063878,Campfire
1063879,Campfire
1063880,Campfire
1063881,Campfire
1063882,Campfire
1063883,Campfire
1063884,Campfire
1063885,Campfire
1063886,Campfire
1063887,Campfire
1063888,Campfire
1063889,Campfire
1063890,Miscellaneous
1063891,Children
1063892,Equipment Use
1063893,Miscellaneous
1063894,Campfire
1063895,Campfire
1063896,Campfire
1063897,Miscellaneous
1063898,Campfire
1063901,Arson
1063902,Campfire
1063903,Campfire
1063904,Campfire
1063905,Campfire
1063906,Campfire
1063907,Campfire
1063908,Campfire
1063909,Campfire
1063910,Campfire
1063911,Campfire
1063912,Campfire
1063913,Campfire
1063914,Campfire
1063915,Campfire
1063916,Campfire
1063917,Campfire
1063918,Campfire
1063919,Campfire
1063920,Campfire
1063921,Campfire
1063922,Debris Burning
1063925,Campfire
1063926,Debris Burning
1063927,Campfire
1063928,Miscellaneous
1063929,Miscellaneous
1063931,Campfire
1063932,Campfire
1063933,Equipment Use
1063934,Campfire
1063935,Campfire
1063936,Miscellaneous
1063937,Debris Burning
1063938,Campfire
1063939,Campfire
1063940,Campfire
1063941,Miscellaneous
1063950,Miscellaneous
1063951,Campfire
1063952,Miscellaneous
1063953,Miscellaneous
1063954,Debris Burning
1063955,Miscellaneous
1063957,Lightning
1063958,Lightning
1063959,Campfire
1063960,Lightning
1063964,Miscellaneous
1063965,Campfire
1063966,Campfire
1063967,Campfire
1063968,Campfire
1063969,Campfire
1063970,Campfire
1063972,Debris Burning
1063973,Campfire
1063974,Campfire
1063975,Children
1063976,Campfire
1063977,Campfire
1063978,Campfire
1063979,Smoking
1063980,Campfire
1063982,Campfire
1063983,Campfire
1063984,Campfire
1063985,Debris Burning
1063987,Debris Burning
1063988,Campfire
1063989,Miscellaneous
1063990,Campfire
1063991,Campfire
1063992,Campfire
1063993,Campfire
1063994,Lightning
1063995,Lightning
1063996,Lightning
1063997,Campfire
1063998,Lightning
1063999,Campfire
1064043,Campfire
1064046,Lightning
1064051,Lightning
1064052,Arson
1064063,Debris Burning
1064064,Smoking
1064065,Miscellaneous
1064066,Lightning
1064067,Lightning
1064068,Lightning
1064069,Lightning
1064070,Lightning
1064071,Lightning
1064072,Lightning
1064073,Debris Burning
1064074,Campfire
1064075,Debris Burning
1064076,Miscellaneous
1064077,Smoking
1064078,Children
1064079,Campfire
1064080,Lightning
1064081,Lightning
1064082,Children
1064083,Miscellaneous
1064084,Miscellaneous
1064085,Debris Burning
1064086,Campfire
1064087,Debris Burning
1064088,Smoking
1064089,Campfire
1064090,Lightning
1064091,Lightning
1064092,Lightning
1064093,Lightning
1064094,Lightning
1064095,Lightning
1064096,Lightning
1064193,Campfire
1064194,Lightning
1064195,Lightning
1064196,Smoking
1064197,Campfire
1064198,Campfire
1064199,Debris Burning
1064200,Debris Burning
1064201,Campfire
1064202,Debris Burning
1064203,Campfire
1064204,Debris Burning
1064205,Equipment Use
1064206,Campfire
1064207,Debris Burning
1064208,Campfire
1064209,Campfire
1064210,Lightning
1064211,Lightning
1064212,Lightning
1064213,Lightning
1064214,Lightning
1064215,Lightning
1064216,Lightning
1064217,Lightning
1064218,Lightning
1064219,Campfire
1064220,Debris Burning
1064221,Lightning
1064222,Lightning
1064223,Lightning
1064224,Lightning
1064225,Lightning
1064226,Lightning
1064227,Missing/Undefined
1064228,Lightning
1064229,Lightning
1064230,Structure
1064309,Lightning
1064310,Lightning
1064311,Debris Burning
1064313,Lightning
1145148,Powerline
1145149,Miscellaneous
1145150,Campfire
1145151,Arson
1145152,Arson
1145153,Children
1145154,Debris Burning
1145155,Equipment Use
1145156,Debris Burning
1145157,Miscellaneous
1145158,Debris Burning
1145159,Miscellaneous
1145160,Campfire
1145161,Campfire
1145162,Powerline
1145163,Debris Burning
1145164,Debris Burning
1145165,Debris Burning
1145166,Debris Burning
1145167,Powerline
1145168,Debris Burning
1145169,Debris Burning
1145170,Powerline
1145171,Powerline
1145172,Debris Burning
1145173,Debris Burning
1145174,Lightning
1145175,Lightning
1145176,Powerline
1145177,Equipment Use
1145178,Smoking
1145179,Debris Burning
1145180,Debris Burning
1145181,Structure
1145182,Lightning
1145183,Structure
1145184,Debris Burning
1145185,Arson
1145186,Equipment Use
1145187,Lightning
1145188,Structure
1145189,Debris Burning
1145190,Equipment Use
1145191,Campfire
1145192,Debris Burning
1145193,Missing/Undefined
1145194,Lightning
1145195,Equipment Use
1145196,Arson
1145197,Children
1145198,Lightning
1145199,Lightning
1145200,Lightning
1145201,Campfire
1145202,Debris Burning
1145203,Miscellaneous
1145204,Lightning
1145205,Miscellaneous
1145206,Lightning
1145207,Debris Burning
1145208,Lightning
1145209,Debris Burning
1145210,Lightning
1145211,Powerline
1145212,Campfire
1145213,Debris Burning
1145214,Powerline
1145215,Powerline
1145216,Powerline
1145217,Debris Burning
1145218,Debris Burning
1145219,Campfire
1145220,Equipment Use
1145221,Campfire
1145222,Lightning
1145223,Missing/Undefined
1145224,Missing/Undefined
1145225,Miscellaneous
1145226,Debris Burning
1145227,Debris Burning
1145228,Campfire
1145229,Powerline
1145230,Powerline
1145231,Debris Burning
1145232,Arson
1145233,Miscellaneous
1145234,Arson
1145235,Equipment Use
1145236,Equipment Use
1145237,Debris Burning
1145238,Children
1145239,Missing/Undefined
1145240,Missing/Undefined
1145241,Missing/Undefined
1145242,Missing/Undefined
1145243,Missing/Undefined
1145244,Equipment Use
1145245,Powerline
1145246,Debris Burning
1145247,Miscellaneous
1145248,Structure
1145249,Campfire
1145250,Powerline
1145251,Lightning
1145252,Powerline
1145253,Miscellaneous
1145254,Missing/Undefined
1145255,Arson
1145256,Powerline
1145257,Powerline
1145258,Children
1145259,Debris Burning
1145260,Campfire
1145261,Lightning
1145262,Equipment Use
1145263,Lightning
1145264,Miscellaneous
1145265,Debris Burning
1145266,Powerline
1145267,Debris Burning
1145268,Campfire
1145269,Equipment Use
1145270,Powerline
1145271,Miscellaneous
1145272,Powerline
1145273,Debris Burning
1145274,Missing/Undefined
1145275,Debris Burning
1145276,Campfire
1145277,Campfire
1145278,Debris Burning
1145279,Equipment Use
1145280,Lightning
1145281,Lightning
1145282,Campfire
1145283,Powerline
1145284,Miscellaneous
1145285,Debris Burning
1145286,Lightning
1145287,Debris Burning
1145288,Powerline
1145289,Miscellaneous
1145290,Powerline
1145291,Lightning
1145292,Lightning
1145293,Lightning
1145294,Arson
1145295,Missing/Undefined
1145296,Debris Burning
1145297,Children
1145298,Debris Burning
1145299,Lightning
1145300,Miscellaneous
1145301,Lightning
1145302,Debris Burning
1145303,Missing/Undefined
1145304,Powerline
1145305,Lightning
1145306,Lightning
1145307,Lightning
1145308,Campfire
1145309,Lightning
1145310,Miscellaneous
1145311,Debris Burning
1145312,Lightning
1145313,Powerline
1145314,Powerline
1145315,Equipment Use
1145316,Equipment Use
1145317,Structure
1145318,Lightning
1145319,Debris Burning
1145320,Equipment Use
1145321,Miscellaneous
1145322,Miscellaneous
1145323,Debris Burning
1145324,Campfire
1145325,Debris Burning
1145326,Lightning
1145327,Campfire
1145328,Campfire
1145329,Debris Burning
1145330,Lightning
1145331,Campfire
1145332,Lightning
1145333,Powerline
1145334,Missing/Undefined
1145335,Campfire
1145336,Children
1145337,Debris Burning
1145338,Lightning
1145339,Lightning
1145340,Missing/Undefined
1145341,Debris Burning
1145342,Equipment Use
1145343,Equipment Use
1145344,Structure
1145345,Miscellaneous
1145346,Campfire
1145347,Campfire
1145348,Missing/Undefined
1145349,Debris Burning
1145350,Miscellaneous
1145351,Campfire
1145352,Miscellaneous
1145353,Miscellaneous
1145354,Campfire
1145355,Powerline
1145356,Powerline
1145357,Structure
1145358,Debris Burning
1145359,Missing/Undefined
1145360,Arson
1145361,Debris Burning
1145362,Campfire
1145363,Lightning
1145364,Campfire
1145365,Miscellaneous
1145366,Structure
1145367,Campfire
1145368,Children
1145369,Debris Burning
1145370,Powerline
1145371,Miscellaneous
1145372,Miscellaneous
1145373,Lightning
1145374,Powerline
1145375,Miscellaneous
1145376,Debris Burning
1145377,Campfire
1145378,Children
1145379,Debris Burning
1145380,Lightning
1145381,Children
1145382,Campfire
1145383,Debris Burning
1145384,Missing/Undefined
1145385,Lightning
1145386,Debris Burning
1145387,Children
1145388,Debris Burning
1145389,Arson
1145390,Miscellaneous
1145391,Debris Burning
1145392,Debris Burning
1145393,Debris Burning
1145394,Arson
1145395,Debris Burning
1145396,Debris Burning
1145397,Structure
1145398,Children
1145399,Equipment Use
1145400,Debris Burning
1145401,Debris Burning
1145402,Miscellaneous
1145403,Debris Burning
1145404,Debris Burning
1145405,Debris Burning
1145406,Debris Burning
1145407,Miscellaneous
1145408,Missing/Undefined
1145409,Missing/Undefined
1145410,Debris Burning
1145411,Powerline
1145412,Debris Burning
1145413,Debris Burning
1145414,Debris Burning
1145415,Powerline
1145416,Debris Burning
1145417,Lightning
1145418,Miscellaneous
1145419,Debris Burning
1145420,Campfire
1145421,Missing/Undefined
1145422,Lightning
1145423,Campfire
1145424,Lightning
1145425,Debris Burning
1145426,Campfire
1145427,Lightning
1145428,Lightning
1145429,Debris Burning
1145430,Powerline
1145431,Lightning
1145432,Campfire
1145433,Campfire
1145434,Campfire
1145435,Miscellaneous
1145436,Debris Burning
1176979,Campfire
1177142,Debris Burning
1177166,Miscellaneous
1177365,Miscellaneous
1177428,Miscellaneous
1177430,Campfire
1177433,Miscellaneous
1177435,Miscellaneous
1177568,Campfire
1177919,Campfire
1177920,Children
1177921,Miscellaneous
1177922,Children
1177923,Campfire
1177924,Campfire
1177925,Campfire
1177993,Lightning
1177994,Campfire
1177995,Campfire
1178060,Campfire
1178593,Campfire
1178852,Children
1179235,Lightning
1179236,Campfire
1179237,Debris Burning
1180203,Campfire
1180205,Campfire
1180206,Campfire
1180432,Campfire
1180436,Miscellaneous
1180772,Campfire
1180984,Campfire
1181137,Campfire
1181147,Miscellaneous
1211346,Campfire
1215267,Lightning
1215268,Arson
1215269,Missing/Undefined
1215270,Equipment Use
1215271,Arson
1215272,Arson
1215273,Missing/Undefined
1215274,Arson
1215275,Arson
1215276,Lightning
1215277,Arson
1215278,Campfire
1215279,Arson
1215280,Arson
1215281,Arson
1215282,Arson
1215283,Missing/Undefined
1215284,Lightning
1215285,Missing/Undefined
1215286,Arson
1215287,Missing/Undefined
1215288,Lightning
1215289,Arson
1215290,Miscellaneous
1215291,Arson
1215292,Arson
1215293,Lightning
1215294,Lightning
1215295,Arson
1215296,Campfire
1215297,Arson
1215298,Miscellaneous
1215299,Missing/Undefined
1215300,Arson
1215301,Campfire
1215302,Missing/Undefined
1215303,Missing/Undefined
1215304,Lightning
1215305,Arson
1215306,Lightning
1215307,Arson
