,STAT_CAUSE_DESCR
210602,Lightning
210603,Campfire
210604,Arson
210605,Arson
210606,Arson
210607,Lightning
210608,Lightning
210609,Arson
210610,Lightning
210611,Lightning
210612,Lightning
210613,Lightning
210614,Campfire
210615,Lightning
210616,Arson
210617,Lightning
210618,Lightning
210619,Arson
210620,Campfire
210621,Lightning
210622,Lightning
210623,Lightning
210624,Lightning
210625,Lightning
210626,Lightning
210627,Lightning
210628,Lightning
210629,Lightning
210630,Lightning
210631,Lightning
210632,Powerline
210633,Lightning
210634,Lightning
210635,Lightning
210636,Lightning
210637,Lightning
210638,Lightning
210639,Lightning
210640,Miscellaneous
210641,Campfire
210642,Equipment Use
210643,Campfire
210644,Lightning
210645,Campfire
210646,Lightning
210647,Lightning
210648,Equipment Use
210649,Lightning
210650,Arson
210651,Lightning
210652,Lightning
210653,Campfire
210654,Lightning
210655,Lightning
210656,Lightning
210657,Lightning
210658,Lightning
210659,Lightning
210660,Campfire
210661,Lightning
210662,Lightning
210663,Lightning
210664,Debris Burning
210665,Lightning
210666,Lightning
210667,Lightning
210668,Campfire
210669,Campfire
210670,Lightning
210671,Lightning
210672,Lightning
210673,Lightning
210674,Lightning
210675,Lightning
210676,Lightning
210677,Campfire
210678,Lightning
210679,Lightning
210680,Lightning
210681,Lightning
210682,Miscellaneous
210683,Lightning
210684,Lightning
210685,Lightning
210686,Lightning
210687,Campfire
210688,Lightning
210689,Lightning
210690,Lightning
210691,Lightning
210692,Lightning
210693,Lightning
210694,Lightning
210695,Lightning
210696,Campfire
210697,Lightning
210698,Lightning
210699,Lightning
210700,Lightning
210701,Campfire
210702,Miscellaneous
210703,Lightning
210704,Lightning
210705,Lightning
210706,Lightning
210707,Lightning
210708,Lightning
210709,Lightning
210710,Lightning
210711,Campfire
210712,Lightning
210713,Lightning
210714,Lightning
210715,Lightning
210716,Lightning
210717,Campfire
210718,Lightning
210719,Lightning
210720,Lightning
210721,Children
210722,Campfire
210723,Lightning
210724,Campfire
210725,Lightning
210726,Miscellaneous
210727,Arson
210728,Lightning
210729,Lightning
210730,Campfire
210731,Debris Burning
210732,Lightning
210733,Miscellaneous
210734,Lightning
210735,Debris Burning
210736,Miscellaneous
210737,Campfire
210738,Campfire
210739,Miscellaneous
210740,Lightning
210741,Arson
210742,Arson
210743,Lightning
210744,Miscellaneous
210745,Campfire
210746,Lightning
210747,Campfire
210748,Campfire
210749,Campfire
210750,Campfire
210751,Arson
210752,Arson
210753,Debris Burning
210754,Miscellaneous
210755,Debris Burning
210756,Campfire
210757,Missing/Undefined
210758,Lightning
210759,Lightning
210760,Debris Burning
210761,Campfire
210762,Debris Burning
210763,Campfire
210764,Lightning
210765,Lightning
210766,Campfire
210767,Lightning
210768,Missing/Undefined
210769,Lightning
210770,Lightning
210771,Lightning
210772,Lightning
210773,Lightning
210774,Lightning
210775,Lightning
210776,Lightning
210777,Lightning
210778,Lightning
210779,Lightning
210780,Lightning
210781,Lightning
210782,Lightning
210783,Lightning
210784,Lightning
210785,Lightning
210786,Lightning
210787,Lightning
210788,Lightning
210789,Lightning
210790,Lightning
210791,Lightning
210792,Lightning
210793,Lightning
210794,Lightning
210795,Lightning
210796,Lightning
210797,Lightning
210798,Lightning
210799,Lightning
210800,Lightning
210801,Lightning
210802,Lightning
210803,Lightning
210804,Lightning
210805,Lightning
210806,Lightning
210807,Lightning
210808,Lightning
210809,Lightning
210810,Lightning
210811,Lightning
210812,Lightning
210813,Lightning
210814,Lightning
210815,Lightning
210816,Lightning
210817,Lightning
210818,Lightning
210819,Lightning
210820,Lightning
210821,Lightning
210822,Lightning
210823,Lightning
210824,Lightning
210825,Lightning
210826,Lightning
210827,Lightning
210828,Lightning
210829,Lightning
210830,Lightning
210831,Lightning
210832,Debris Burning
210833,Lightning
210834,Lightning
210835,Lightning
210836,Lightning
210837,Lightning
210838,Lightning
210839,Lightning
210840,Lightning
210841,Missing/Undefined
210842,Lightning
210843,Lightning
210844,Lightning
210845,Lightning
210846,Lightning
210847,Lightning
210848,Lightning
210849,Lightning
210850,Lightning
210851,Lightning
210852,Lightning
210853,Lightning
210854,Lightning
210855,Lightning
210856,Lightning
210857,Lightning
210858,Lightning
210859,Lightning
210860,Lightning
210861,Miscellaneous
210862,Lightning
210863,Lightning
210864,Lightning
210865,Lightning
210866,Lightning
210867,Lightning
210868,Lightning
210869,Lightning
210870,Lightning
210871,Lightning
210872,Lightning
210873,Debris Burning
210874,Lightning
210875,Lightning
210876,Campfire
210877,Lightning
210878,Lightning
210879,Lightning
210880,Lightning
210881,Lightning
210882,Lightning
210883,Lightning
210884,Lightning
210885,Lightning
210886,Lightning
210887,Lightning
210888,Lightning
210889,Lightning
210890,Campfire
210891,Lightning
210892,Lightning
210893,Lightning
210894,Lightning
210895,Lightning
210896,Lightning
210897,Lightning
210898,Lightning
210899,Lightning
210900,Campfire
210901,Lightning
210902,Lightning
210903,Campfire
210904,Lightning
210905,Lightning
210906,Lightning
210907,Lightning
210908,Lightning
210909,Lightning
210910,Lightning
210911,Lightning
210912,Campfire
210913,Lightning
210914,Lightning
210915,Lightning
210916,Lightning
210917,Lightning
210918,Lightning
210919,Lightning
210920,Lightning
210921,Lightning
210922,Lightning
210923,Campfire
210924,Lightning
210925,Lightning
210926,Lightning
210927,Lightning
210928,Lightning
210929,Lightning
210930,Lightning
210931,Lightning
210932,Lightning
210933,Lightning
210934,Lightning
210935,Lightning
210936,Lightning
210937,Lightning
210938,Campfire
210939,Lightning
210940,Lightning
210941,Lightning
210942,Campfire
210943,Campfire
210944,Lightning
210945,Lightning
210946,Lightning
210947,Campfire
210948,Campfire
210949,Campfire
210950,Campfire
210951,Campfire
210952,Lightning
210953,Lightning
210954,Smoking
210955,Lightning
210956,Campfire
210957,Campfire
210958,Campfire
210959,Miscellaneous
210960,Miscellaneous
210961,Campfire
210962,Campfire
210963,Campfire
210964,Debris Burning
210965,Campfire
210966,Campfire
210967,Campfire
210968,Campfire
210969,Campfire
210970,Campfire
210971,Campfire
210972,Arson
210973,Arson
210974,Lightning
210975,Lightning
210976,Lightning
210977,Lightning
210978,Lightning
210979,Lightning
210980,Lightning
210981,Debris Burning
210982,Missing/Undefined
210983,Lightning
210984,Lightning
210985,Debris Burning
210986,Arson
210987,Campfire
210988,Campfire
210989,Lightning
210990,Lightning
210991,Lightning
210992,Campfire
210993,Arson
210994,Debris Burning
210995,Lightning
210996,Lightning
210997,Lightning
210998,Lightning
210999,Lightning
211000,Lightning
211001,Lightning
211002,Lightning
211003,Lightning
211004,Lightning
211005,Lightning
211006,Lightning
211007,Lightning
211008,Lightning
211009,Lightning
211010,Lightning
211011,Smoking
211012,Smoking
211013,Campfire
211014,Campfire
211015,Lightning
211016,Debris Burning
211017,Campfire
211018,Arson
211019,Lightning
211020,Lightning
211021,Lightning
211022,Lightning
211023,Lightning
211024,Lightning
211025,Lightning
211026,Lightning
211027,Lightning
211028,Lightning
211029,Lightning
211030,Lightning
211031,Lightning
211032,Lightning
211033,Campfire
211034,Campfire
211035,Lightning
211036,Campfire
211037,Campfire
211038,Campfire
211039,Miscellaneous
211040,Children
211041,Miscellaneous
211042,Debris Burning
211043,Campfire
211044,Arson
211045,Debris Burning
211046,Smoking
211047,Smoking
211048,Miscellaneous
